type,type,type,type,type,parent,labelfor,dimensionType,classificationType,dataType,dataFormat,uniqueIdentifier,constraints
functional-classification,cofog,division,code,full,,,classification,functional,string,,y,
,,,,part,,,classification,functional,string,,y,
,,,label,,,functional-classification:cofog:division:code,classification,functional,string,,,
,,,description,,,,classification,functional,string,,,
,,group,code,full,functional-classification:cofog:division:code,,classification,functional,string,,y,
,,,,part,functional-classification:cofog:division:code,,classification,functional,string,,y,
,,,label,,,functional-classification:cofog:group:code,classification,functional,string,,,
,,,description,,,,classification,functional,string,,,
,,class,code,full,functional-classification:cofog:group:code,,classification,functional,string,,y,
,,,,part,functional-classification:cofog:group:code,,classification,functional,string,,y,
,,,label,,,functional-classification:cofog:class:code,classification,functional,string,,,
,,,description,,,,classification,functional,string,,,
,,code,full,,,,classification,functional,string,,y,
,,,part,,,,classification,functional,string,,y,
,,label,,,,functional-classification:cofog:code,classification,functional,string,,,
,,description,,,,,classification,functional,string,,,
,generic,level1,code,full,,,classification,functional,string,,y,
,,,,part,,,classification,functional,string,,y,
,,,label,,,functional-classification:generic:level1:code,classification,functional,string,,,
,,,description,,,,classification,functional,string,,,
,,level2,code,full,functional-classification:generic:level1:code,,classification,functional,string,,y,
,,,,part,functional-classification:generic:level1:code,,classification,functional,string,,y,
,,,label,,,functional-classification:generic:level2:code,classification,functional,string,,,
,,,description,,,,classification,functional,string,,,
,,level3,code,full,functional-classification:generic:level2:code,,classification,functional,string,,y,
,,,,part,functional-classification:generic:level2:code,,classification,functional,string,,y,
,,,label,,,functional-classification:generic:level3:code,classification,functional,string,,,
,,,description,,,,classification,functional,string,,,
,,level4,code,full,functional-classification:generic:level3:code,,classification,functional,string,,y,
,,,,part,functional-classification:generic:level3:code,,classification,functional,string,,y,
,,,label,,,functional-classification:generic:level4:code,classification,functional,string,,,
,,,description,,,,classification,functional,string,,,
,,code,full,,,,classification,functional,string,,y,
,,,part,,,,classification,functional,string,,y,
,,label,,,,,classification,functional,string,,,
,,description,,,,,classification,functional,string,,,
administrative-classification,generic,level1,code,full,,,classification,administrative,string,,y,
,,,,part,,,classification,administrative,string,,y,
